title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,22-02-2019 10:17,7,7,2,1,1145,us,0,2.045,15.0,0,145.0,-2.0,-77.0
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,01-02-2019 16:14,6,6,2,1,909,us,0,0.289,43.0,0,66.0,15.0,-92.0
M 6.7 - Prince Edward Islands region,6.7,22-01-2019 19:01,0,3,4,0,691,us,0,7.527,17.0,0,13.0,-43.0,42.0
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,20-01-2019 01:32,8,8,3,1,1600,us,0,0.173,22.0,0,63.0,-30.0,-71.0
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,15-01-2019 18:06,5,4,4,1,671,us,0,7.818,18.0,0,35.0,-13.0,167.0
M 6.6 - Molucca Sea,6.6,06-01-2019 17:27,2,4,4,1,672,us,0,1.596,33.0,0,43.21,2.0,127.0
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,05-01-2019 19:25,3,3,4,0,715,us,0,1.181,16.0,0,570.41,-8.0,-72.0
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7.0,29-12-2018 03:39,5,5,4,1,803,us,0,1.769,21.0,0,60.21,6.0,127.0
"M 7.3 - 187 km SE of Ust’-Kamchatsk Staryy, Russia",7.3,20-12-2018 17:01,3,7,4,1,822,us,0,4.126,23.0,0,16.56,55.0,165.0
M 7.1 - South Sandwich Islands region,7.1,11-12-2018 02:26,0,5,4,1,776,us,0,7.043,20.0,0,133.0,-59.0,-26.0
